id;vehicle_id;latitude;longitude;theta;speed;battery;doors;last_seen;created_at
556934;EZ10_G2-005;52.4816668317;13.3567217718;2.4710452557;0;91;f;2018-03-22 09:26:42+01;2018-03-22 08:26:42.417485
556938;EZ10_G2-005;52.4816668263;13.3567217786;2.4710366726;0;91;f;2018-03-22 09:26:44+01;2018-03-22 08:26:44.419073
556945;EZ10_G2-005;52.4816668243;13.3567217854;2.4710514545;0;91;f;2018-03-22 09:26:47+01;2018-03-22 08:26:47.902245
556947;EZ10_G2-005;52.4816668225;13.356721781;2.4710171223;0;91;f;2018-03-22 09:26:48+01;2018-03-22 08:26:48.942805
556950;EZ10_G2-005;52.4816668204;13.3567217825;2.4710974693;0;91;f;2018-03-22 09:26:50+01;2018-03-22 08:26:50.417384
556953;EZ10_G2-005;52.4816668181;13.3567217886;2.4710900784;0;91;f;2018-03-22 09:26:51+01;2018-03-22 08:26:51.903183
556954;EZ10_G2-005;52.4816668176;13.3567217864;2.4710643291;0;91;f;2018-03-22 09:26:52+01;2018-03-22 08:26:52.38907
556956;EZ10_G2-005;52.4816668164;13.3567217858;2.4710869789;0;91;f;2018-03-22 09:26:53+01;2018-03-22 08:26:53.417765
556958;EZ10_G2-005;52.4816668137;13.3567217865;2.4710018635;0;91;f;2018-03-22 09:26:54+01;2018-03-22 08:26:54.393646
556959;EZ10_G2-005;52.481666815;13.3567217888;2.4711520672;0;91;f;2018-03-22 09:26:54+01;2018-03-22 08:26:54.902951
556960;EZ10_G2-005;52.4816668137;13.3567217895;2.4710578918;0;91;f;2018-03-22 09:26:55+01;2018-03-22 08:26:55.416248
556961;EZ10_G2-005;52.4816668133;13.3567217882;2.4710977077;0;91;f;2018-03-22 09:26:55+01;2018-03-22 08:26:55.902816
556962;EZ10_G2-005;52.4816668121;13.3567217907;2.4711794853;0;91;f;2018-03-22 09:26:56+01;2018-03-22 08:26:56.419074
