id;vehicle_id;latitude;longitude;theta;speed;battery;doors;last_seen;created_at
96710;EZ10_G2-005;52.4819067919;13.356570662;0.9068025351;0;35;f;2018-02-26 10:17:56+01;2018-02-26 09:17:56.479248
96711;EZ10_G2-005;52.4819067908;13.3565706558;0.9068073034;0;35;f;2018-02-26 10:17:56+01;2018-02-26 09:17:56.999668
96708;EZ10_G2-005;52.4819067919;13.3565706634;0.9069510102;0;35;f;2018-02-26 10:17:55+01;2018-02-26 09:17:55.488681
96709;EZ10_G2-005;52.4819067911;13.35657066;0.9069156051;0;35;f;2018-02-26 10:17:55+01;2018-02-26 09:17:55.979618
96712;EZ10_G2-005;52.4819067916;13.3565706607;0.9068934321;0;35;f;2018-02-26 10:17:57+01;2018-02-26 09:17:57.542414
96713;EZ10_G2-005;52.48190679;13.3565706572;0.9068639278;0;35;f;2018-02-26 10:17:57+01;2018-02-26 09:17:57.9798
96716;EZ10_G2-005;52.4819067924;13.3565706749;0.9068555832;0;35;f;2018-02-26 10:17:59+01;2018-02-26 09:17:59.476502
96717;EZ10_G2-005;52.4819067971;13.3565706858;0.906773448;0;35;f;2018-02-26 10:17:59+01;2018-02-26 09:17:59.979558
96720;EZ10_G2-005;52.481906802;13.3565707145;0.9069399834;0;35;f;2018-02-26 10:18:01+01;2018-02-26 09:18:01.475572
96721;EZ10_G2-005;52.4819068031;13.356570721;0.9068995714;0;35;f;2018-02-26 10:18:01+01;2018-02-26 09:18:02.039618
96722;EZ10_G2-005;52.4819068042;13.3565707284;0.9067742825;0;35;f;2018-02-26 10:18:02+01;2018-02-26 09:18:02.47907
96723;EZ10_G2-005;52.4819068035;13.3565707341;0.9068451524;0;35;f;2018-02-26 10:18:02+01;2018-02-26 09:18:02.999144
96726;EZ10_G2-005;52.4819068063;13.3565707473;0.906735003;0;35;f;2018-02-26 10:18:04+01;2018-02-26 09:18:04.479105
96731;EZ10_G2-005;52.4819068083;13.3565707696;0.9067995548;0;35;f;2018-02-26 10:18:06+01;2018-02-26 09:18:06.979441
96736;EZ10_G2-005;52.4819068081;13.3565707809;0.9068662524;0;35;f;2018-02-26 10:18:09+01;2018-02-26 09:18:09.539855
96737;EZ10_G2-005;52.481906809;13.3565707822;0.9067586064;0;35;f;2018-02-26 10:18:09+01;2018-02-26 09:18:09.979274
96740;EZ10_G2-005;52.4819068078;13.3565707867;0.9068264961;0;35;f;2018-02-26 10:18:11+01;2018-02-26 09:18:11.479862
96743;EZ10_G2-005;52.4819068121;13.3565707884;0.9067739248;0;35;f;2018-02-26 10:18:12+01;2018-02-26 09:18:12.99953
96747;EZ10_G2-005;52.4819068136;13.3565707957;0.9069545269;0;35;f;2018-02-26 10:18:14+01;2018-02-26 09:18:14.999518
96748;EZ10_G2-005;52.481906814;13.3565707955;0.9068926573;0;35;f;2018-02-26 10:18:15+01;2018-02-26 09:18:15.475796
96714;EZ10_G2-005;52.4819067906;13.3565706601;0.906858027;0;35;f;2018-02-26 10:17:58+01;2018-02-26 09:17:58.540002
96715;EZ10_G2-005;52.4819067919;13.356570668;0.9068707228;0;35;f;2018-02-26 10:17:58+01;2018-02-26 09:17:59.039981
96718;EZ10_G2-005;52.4819067989;13.3565706951;0.9068138599;0;35;f;2018-02-26 10:18:00+01;2018-02-26 09:18:00.477288
96719;EZ10_G2-005;52.481906801;13.3565707046;0.9067243338;0;35;f;2018-02-26 10:18:00+01;2018-02-26 09:18:00.999498
96724;EZ10_G2-005;52.4819068041;13.3565707405;0.9069133997;0;35;f;2018-02-26 10:18:03+01;2018-02-26 09:18:03.479505
96725;EZ10_G2-005;52.4819068049;13.3565707452;0.9069160819;0;35;f;2018-02-26 10:18:03+01;2018-02-26 09:18:04.039992
96727;EZ10_G2-005;52.4819068064;13.3565707513;0.9068254828;0;35;f;2018-02-26 10:18:04+01;2018-02-26 09:18:04.999183
96728;EZ10_G2-005;52.481906806;13.3565707568;0.9068779349;0;35;f;2018-02-26 10:18:05+01;2018-02-26 09:18:05.48034
96729;EZ10_G2-005;52.481906806;13.3565707622;0.9069092274;0;35;f;2018-02-26 10:18:05+01;2018-02-26 09:18:05.979598
96730;EZ10_G2-005;52.4819068077;13.3565707662;0.906799078;0;35;f;2018-02-26 10:18:06+01;2018-02-26 09:18:06.485564
96732;EZ10_G2-005;52.4819068091;13.356570771;0.9068397284;0;35;f;2018-02-26 10:18:07+01;2018-02-26 09:18:07.476416
96733;EZ10_G2-005;52.4819068098;13.3565707735;0.9068367481;0;35;f;2018-02-26 10:18:07+01;2018-02-26 09:18:08.039751
96734;EZ10_G2-005;52.4819068106;13.3565707764;0.9068140984;0;35;f;2018-02-26 10:18:08+01;2018-02-26 09:18:08.478223
96735;EZ10_G2-005;52.481906809;13.356570778;0.9067610502;0;35;f;2018-02-26 10:18:08+01;2018-02-26 09:18:09.000839
96738;EZ10_G2-005;52.4819068094;13.3565707829;0.9067241549;0;35;f;2018-02-26 10:18:10+01;2018-02-26 09:18:10.477776
96739;EZ10_G2-005;52.4819068099;13.3565707854;0.9067956209;0;35;f;2018-02-26 10:18:10+01;2018-02-26 09:18:10.999222
96741;EZ10_G2-005;52.4819068082;13.356570787;0.9068418145;0;35;f;2018-02-26 10:18:11+01;2018-02-26 09:18:12.039619
96742;EZ10_G2-005;52.4819068109;13.3565707871;0.9067219496;0;35;f;2018-02-26 10:18:12+01;2018-02-26 09:18:12.475354
96744;EZ10_G2-005;52.4819068126;13.3565707916;0.9069222808;0;35;f;2018-02-26 10:18:13+01;2018-02-26 09:18:13.476382
96745;EZ10_G2-005;52.4819068131;13.3565707919;0.9068085551;0;35;f;2018-02-26 10:18:13+01;2018-02-26 09:18:14.047542
96746;EZ10_G2-005;52.4819068137;13.3565707934;0.9068088531;0;35;f;2018-02-26 10:18:14+01;2018-02-26 09:18:14.475952
96750;EZ10_G2-005;52.4819068157;13.356570796;0.9068000913;0;35;f;2018-02-26 10:18:16+01;2018-02-26 09:18:16.4785
96752;EZ10_G2-005;52.4819068165;13.3565707986;0.9068306088;0;35;f;2018-02-26 10:18:17+01;2018-02-26 09:18:17.479547
96753;EZ10_G2-005;52.4819068158;13.3565707983;0.9068243504;0;35;f;2018-02-26 10:18:17+01;2018-02-26 09:18:17.979479
96754;EZ10_G2-005;52.4819068172;13.3565707957;0.9067770243;0;35;f;2018-02-26 10:18:18+01;2018-02-26 09:18:18.478786
96755;EZ10_G2-005;52.4819068157;13.3565707948;0.9067634344;0;35;f;2018-02-26 10:18:18+01;2018-02-26 09:18:18.979669
96760;EZ10_G2-005;52.4819068085;13.3565707864;0.9068542123;0;35;f;2018-02-26 10:18:21+01;2018-02-26 09:18:21.479365
96762;EZ10_G2-005;52.4819068071;13.3565707813;0.9067810178;0;35;f;2018-02-26 10:18:22+01;2018-02-26 09:18:22.47352
96763;EZ10_G2-005;52.4819068059;13.3565707764;0.9066791534;0;35;f;2018-02-26 10:18:22+01;2018-02-26 09:18:22.999692
96764;EZ10_G2-005;52.481906804;13.3565707738;0.9067765474;0;35;f;2018-02-26 10:18:23+01;2018-02-26 09:18:23.476563
96769;EZ10_G2-005;52.4819068049;13.3565707769;0.9069434404;0;35;f;2018-02-26 10:18:25+01;2018-02-26 09:18:25.979689
96772;EZ10_G2-005;52.4819068086;13.3565707834;0.906858623;0;35;f;2018-02-26 10:18:27+01;2018-02-26 09:18:27.475845
96773;EZ10_G2-005;52.481906811;13.3565707858;0.9068771005;0;35;f;2018-02-26 10:18:27+01;2018-02-26 09:18:28.039361
96774;EZ10_G2-005;52.4819068109;13.3565707854;0.9066877961;0;35;f;2018-02-26 10:18:28+01;2018-02-26 09:18:28.474742
96779;EZ10_G2-005;52.4819068151;13.356570795;0.9068165421;0;35;f;2018-02-26 10:18:30+01;2018-02-26 09:18:30.999539
96780;EZ10_G2-005;52.4819068161;13.356570799;0.9069647193;0;35;f;2018-02-26 10:18:31+01;2018-02-26 09:18:31.479983
96781;EZ10_G2-005;52.4819068174;13.3565707992;0.9069159627;0;35;f;2018-02-26 10:18:31+01;2018-02-26 09:18:31.979536
96782;EZ10_G2-005;52.4819068194;13.3565707991;0.9068078995;0;35;f;2018-02-26 10:18:32+01;2018-02-26 09:18:32.47786
96784;EZ10_G2-005;52.4819068178;13.3565708012;0.9068590403;0;35;f;2018-02-26 10:18:33+01;2018-02-26 09:18:33.477446
96785;EZ10_G2-005;52.4819068182;13.3565708032;0.9068671465;0;35;f;2018-02-26 10:18:33+01;2018-02-26 09:18:34.047507
96786;EZ10_G2-005;52.4819068187;13.3565708028;0.9067779183;0;35;f;2018-02-26 10:18:34+01;2018-02-26 09:18:34.485467
96787;EZ10_G2-005;52.4819068179;13.3565708058;0.90686059;0;35;f;2018-02-26 10:18:34+01;2018-02-26 09:18:34.979538
96788;EZ10_G2-005;52.4819068175;13.3565708059;0.9068622589;0;35;f;2018-02-26 10:18:35+01;2018-02-26 09:18:35.479561
96793;EZ10_G2-005;52.4819068155;13.356570806;0.9068463445;0;35;f;2018-02-26 10:18:37+01;2018-02-26 09:18:37.979314
96794;EZ10_G2-005;52.4819068163;13.3565708058;0.9067667723;0;35;f;2018-02-26 10:18:38+01;2018-02-26 09:18:38.476616
96808;EZ10_G2-005;52.4819068163;13.3565708072;0.9069678783;0;35;f;2018-02-26 10:18:44+01;2018-02-26 09:18:45.042448
96810;EZ10_G2-005;52.4819068169;13.3565708074;0.9068129063;0;35;f;2018-02-26 10:18:45+01;2018-02-26 09:18:45.980123
96811;EZ10_G2-005;52.4819068166;13.3565708104;0.9067987204;0;35;f;2018-02-26 10:18:46+01;2018-02-26 09:18:46.475124
96812;EZ10_G2-005;52.4819068168;13.3565708114;0.9068262577;0;35;f;2018-02-26 10:18:46+01;2018-02-26 09:18:46.999783
96813;EZ10_G2-005;52.4819068179;13.3565708138;0.9068258405;0;35;f;2018-02-26 10:18:47+01;2018-02-26 09:18:47.479594
96816;EZ10_G2-005;52.4819068217;13.356570817;0.9067876339;0;35;f;2018-02-26 10:18:48+01;2018-02-26 09:18:49.040305
96818;EZ10_G2-005;52.4819074092;13.3565715708;0.90912956;0.1932148337;35;f;2018-02-26 10:18:49+01;2018-02-26 09:18:50.047605
96819;EZ10_G2-005;52.4819083729;13.3565727912;0.9192845821;0.3317026496;35;f;2018-02-26 10:18:50+01;2018-02-26 09:18:50.484086
96821;EZ10_G2-005;52.4819113563;13.3565764017;0.9452552199;0.4432611167;35;f;2018-02-26 10:18:51+01;2018-02-26 09:18:51.47947
96822;EZ10_G2-005;52.4819130607;13.3565783915;0.955011189;0.443534404;35;f;2018-02-26 10:18:51+01;2018-02-26 09:18:52.042612
96824;EZ10_G2-005;52.481916538;13.3565823346;0.9681027532;0.4438753128;35;f;2018-02-26 10:18:52+01;2018-02-26 09:18:52.999927
96825;EZ10_G2-005;52.4819182441;13.3565842466;0.9730587602;0.4439487159;35;f;2018-02-26 10:18:53+01;2018-02-26 09:18:53.477128
96829;EZ10_G2-005;52.4819254622;13.3565921895;0.9757785797;0.4719900191;35;f;2018-02-26 10:18:55+01;2018-02-26 09:18:55.473673
96830;EZ10_G2-005;52.4819272615;13.3565941625;0.9753439426;0.4719841182;35;f;2018-02-26 10:18:55+01;2018-02-26 09:18:56.039956
96833;EZ10_G2-005;52.481932541;13.3565999921;0.9687150717;0.4719482958;35;f;2018-02-26 10:18:57+01;2018-02-26 09:18:57.47481
96835;EZ10_G2-005;52.4819361434;13.3566040362;0.9615113139;0.4719482958;35;f;2018-02-26 10:18:58+01;2018-02-26 09:18:58.541007
96836;EZ10_G2-005;52.4819379372;13.3566060864;0.9585692286;0.4719365239;35;f;2018-02-26 10:18:58+01;2018-02-26 09:18:58.979621
96837;EZ10_G2-005;52.4819397465;13.3566081608;0.9551057816;0.4719482958;35;f;2018-02-26 10:18:59+01;2018-02-26 09:18:59.487587
96839;EZ10_G2-005;52.4819442187;13.3566133686;0.9470461607;0.7219209075;35;f;2018-02-26 10:19:00+01;2018-02-26 09:19:00.476917
96840;EZ10_G2-005;52.4819471736;13.3566168641;0.9428302646;0.8609261513;35;f;2018-02-26 10:19:00+01;2018-02-26 09:19:01.000047
96842;EZ10_G2-005;52.4819545922;13.3566257563;0.9343736768;1.1379452944;35;f;2018-02-26 10:19:01+01;2018-02-26 09:19:02.040287
96843;EZ10_G2-005;52.4819591358;13.3566312525;0.9298795462;1.3049373627;35;f;2018-02-26 10:19:02+01;2018-02-26 09:19:02.475931
96844;EZ10_G2-005;52.4819641294;13.3566373334;0.9257546067;1.387970686;35;f;2018-02-26 10:19:02+01;2018-02-26 09:19:03.00849
96749;EZ10_G2-005;52.4819068156;13.3565707956;0.9068925381;0;35;f;2018-02-26 10:18:15+01;2018-02-26 09:18:16.039626
96751;EZ10_G2-005;52.4819068174;13.3565707961;0.9067571759;0;35;f;2018-02-26 10:18:16+01;2018-02-26 09:18:16.999523
96756;EZ10_G2-005;52.4819068137;13.3565707936;0.9068804979;0;35;f;2018-02-26 10:18:19+01;2018-02-26 09:18:19.479648
96757;EZ10_G2-005;52.481906813;13.3565707908;0.9067935348;0;35;f;2018-02-26 10:18:19+01;2018-02-26 09:18:19.979365
96758;EZ10_G2-005;52.4819068118;13.3565707886;0.9067891836;0;35;f;2018-02-26 10:18:20+01;2018-02-26 09:18:20.540735
96759;EZ10_G2-005;52.4819068104;13.3565707859;0.9068592787;0;35;f;2018-02-26 10:18:20+01;2018-02-26 09:18:20.979697
96761;EZ10_G2-005;52.4819068088;13.3565707853;0.9068086743;0;35;f;2018-02-26 10:18:21+01;2018-02-26 09:18:21.979733
96765;EZ10_G2-005;52.4819068036;13.3565707724;0.9068623185;0;35;f;2018-02-26 10:18:23+01;2018-02-26 09:18:24.039318
96766;EZ10_G2-005;52.4819068036;13.3565707716;0.9068185091;0;35;f;2018-02-26 10:18:24+01;2018-02-26 09:18:24.474372
96767;EZ10_G2-005;52.4819068012;13.3565707729;0.9068781137;0;35;f;2018-02-26 10:18:24+01;2018-02-26 09:18:25.042159
96768;EZ10_G2-005;52.481906803;13.3565707745;0.9068385363;0;35;f;2018-02-26 10:18:25+01;2018-02-26 09:18:25.480457
96770;EZ10_G2-005;52.4819068064;13.3565707788;0.9068216681;0;35;f;2018-02-26 10:18:26+01;2018-02-26 09:18:26.485967
96771;EZ10_G2-005;52.4819068089;13.3565707802;0.9067932367;0;35;f;2018-02-26 10:18:26+01;2018-02-26 09:18:27.000651
96775;EZ10_G2-005;52.481906812;13.356570788;0.9067996144;0;35;f;2018-02-26 10:18:28+01;2018-02-26 09:18:28.999599
96776;EZ10_G2-005;52.4819068124;13.3565707898;0.9068038464;0;35;f;2018-02-26 10:18:29+01;2018-02-26 09:18:29.479948
96777;EZ10_G2-005;52.4819068138;13.3565707907;0.9067540169;0;35;f;2018-02-26 10:18:29+01;2018-02-26 09:18:30.039649
96778;EZ10_G2-005;52.4819068143;13.3565707918;0.90676862;0;35;f;2018-02-26 10:18:30+01;2018-02-26 09:18:30.475135
96783;EZ10_G2-005;52.4819068187;13.3565707999;0.9067276716;0;35;f;2018-02-26 10:18:32+01;2018-02-26 09:18:32.979797
96789;EZ10_G2-005;52.4819068161;13.3565708073;0.90688622;0;35;f;2018-02-26 10:18:35+01;2018-02-26 09:18:36.039505
96790;EZ10_G2-005;52.4819068169;13.3565708064;0.9068562388;0;35;f;2018-02-26 10:18:36+01;2018-02-26 09:18:36.474624
96791;EZ10_G2-005;52.4819068166;13.3565708065;0.906778276;0;35;f;2018-02-26 10:18:36+01;2018-02-26 09:18:36.999693
96792;EZ10_G2-005;52.4819068156;13.356570806;0.9068722725;0;35;f;2018-02-26 10:18:37+01;2018-02-26 09:18:37.47718
96795;EZ10_G2-005;52.4819068168;13.3565708057;0.9067866802;0;35;f;2018-02-26 10:18:38+01;2018-02-26 09:18:38.99944
96796;EZ10_G2-005;52.4819068159;13.3565708047;0.9068724513;0;35;f;2018-02-26 10:18:39+01;2018-02-26 09:18:39.48372
96797;EZ10_G2-005;52.4819068171;13.3565708037;0.9067340493;0;35;f;2018-02-26 10:18:39+01;2018-02-26 09:18:40.042961
96798;EZ10_G2-005;52.4819068163;13.3565708022;0.9067118168;0;35;f;2018-02-26 10:18:40+01;2018-02-26 09:18:40.541901
96799;EZ10_G2-005;52.4819068156;13.3565708031;0.9068453908;0;35;f;2018-02-26 10:18:40+01;2018-02-26 09:18:41.040225
96800;EZ10_G2-005;52.4819068161;13.3565708032;0.9068676829;0;35;f;2018-02-26 10:18:41+01;2018-02-26 09:18:41.539875
96801;EZ10_G2-005;52.4819068167;13.3565708035;0.9068784714;0;35;f;2018-02-26 10:18:41+01;2018-02-26 09:18:41.980635
96802;EZ10_G2-005;52.4819068175;13.3565708028;0.9068134427;0;35;f;2018-02-26 10:18:42+01;2018-02-26 09:18:42.540271
96803;EZ10_G2-005;52.4819068176;13.3565708038;0.9067694545;0;35;f;2018-02-26 10:18:42+01;2018-02-26 09:18:43.041158
96804;EZ10_G2-005;52.4819068176;13.3565708038;0.9067694545;0;35;f;2018-02-26 10:18:42+01;2018-02-26 09:18:43.103908
96805;EZ10_G2-005;52.4819068165;13.3565708064;0.9069444537;0;35;f;2018-02-26 10:18:43+01;2018-02-26 09:18:44.106655
96806;EZ10_G2-005;52.481906816;13.3565708069;0.9068921804;0;35;f;2018-02-26 10:18:43+01;2018-02-26 09:18:44.11652
96807;EZ10_G2-005;52.4819068166;13.3565708049;0.9067993164;0;35;f;2018-02-26 10:18:44+01;2018-02-26 09:18:44.62796
96809;EZ10_G2-005;52.4819068163;13.3565708071;0.9069020152;0;35;f;2018-02-26 10:18:45+01;2018-02-26 09:18:45.479837
96814;EZ10_G2-005;52.4819068177;13.3565708149;0.9069007039;0;35;f;2018-02-26 10:18:47+01;2018-02-26 09:18:48.039904
96815;EZ10_G2-005;52.4819068198;13.3565708163;0.9067906737;0;35;f;2018-02-26 10:18:48+01;2018-02-26 09:18:48.475088
96817;EZ10_G2-005;52.4819069246;13.3565709501;0.9073007107;0.0549744219;35;f;2018-02-26 10:18:49+01;2018-02-26 09:18:49.479625
