id;vehicle_id;latitude;longitude;theta;speed;battery;doors;last_seen;created_at
247485;EZ10_G2-005;52.4821641143;13.357218371;-0.6435322762;0;49;t;2018-03-06 11:26:00+01;2018-03-06 10:26:00.458109
247491;EZ10_G2-005;52.4821640912;13.3572183682;-0.6436249018;0;49;t;2018-03-06 11:26:03+01;2018-03-06 10:26:03.458373
247494;EZ10_G2-005;52.4821640887;13.3572183679;-0.6434791088;0;49;t;2018-03-06 11:26:05+01;2018-03-06 10:26:05.013059
247496;EZ10_G2-005;52.4821640906;13.3572183647;-0.6435232162;0;49;t;2018-03-06 11:26:06+01;2018-03-06 10:26:05.987676
247486;EZ10_G2-005;52.4821641048;13.3572183697;-0.643319428;0;49;t;2018-03-06 11:26:01+01;2018-03-06 10:26:00.973729
247487;EZ10_G2-005;52.4821641018;13.3572183703;-0.6433746815;0;49;t;2018-03-06 11:26:01+01;2018-03-06 10:26:01.464797
247488;EZ10_G2-005;52.4821640969;13.3572183686;-0.6434782743;0;49;t;2018-03-06 11:26:02+01;2018-03-06 10:26:02.040685
247489;EZ10_G2-005;52.4821640965;13.3572183706;-0.6434652209;0;49;t;2018-03-06 11:26:02+01;2018-03-06 10:26:02.457678
247490;EZ10_G2-005;52.4821640948;13.3572183688;-0.6434949636;0;49;t;2018-03-06 11:26:03+01;2018-03-06 10:26:03.025533
247492;EZ10_G2-005;52.4821640934;13.3572183713;-0.6436068416;0;49;t;2018-03-06 11:26:04+01;2018-03-06 10:26:03.986275
247493;EZ10_G2-005;52.4821640919;13.3572183723;-0.6435469985;0;49;t;2018-03-06 11:26:04+01;2018-03-06 10:26:04.46544
247495;EZ10_G2-005;52.4821640933;13.3572183682;-0.6435595751;0;49;t;2018-03-06 11:26:05+01;2018-03-06 10:26:05.457411
247497;EZ10_G2-005;52.4821640905;13.3572183639;-0.6432840824;0;49;t;2018-03-06 11:26:06+01;2018-03-06 10:26:06.465063
247499;EZ10_G2-005;52.4821640855;13.3572183608;-0.6433845758;0;49;t;2018-03-06 11:26:07+01;2018-03-06 10:26:07.456939
247500;EZ10_G2-005;52.4821640867;13.3572183617;-0.6434371471;0;49;t;2018-03-06 11:26:08+01;2018-03-06 10:26:07.985299
247503;EZ10_G2-005;52.4821640845;13.3572183587;-0.6435212493;0;49;t;2018-03-06 11:26:09+01;2018-03-06 10:26:09.465054
247504;EZ10_G2-005;52.482164086;13.3572183588;-0.643496573;0;49;t;2018-03-06 11:26:10+01;2018-03-06 10:26:09.985888
247507;EZ10_G2-005;52.4821640863;13.3572183616;-0.6435629725;0;49;t;2018-03-06 11:26:11+01;2018-03-06 10:26:11.457917
247510;EZ10_G2-005;52.4821640892;13.3572183602;-0.6437063217;0;49;t;2018-03-06 11:26:13+01;2018-03-06 10:26:12.966098
247511;EZ10_G2-005;52.4821640937;13.3572183645;-0.6435524225;0;49;t;2018-03-06 11:26:13+01;2018-03-06 10:26:13.471531
247514;EZ10_G2-005;52.4821640931;13.3572183648;-0.6435939074;0;49;t;2018-03-06 11:26:15+01;2018-03-06 10:26:14.965858
247515;EZ10_G2-005;52.4821640917;13.3572183641;-0.64350456;0;49;t;2018-03-06 11:26:15+01;2018-03-06 10:26:15.458377
247518;EZ10_G2-005;52.4821640766;13.3572183572;-0.6433147192;0;49;t;2018-03-06 11:26:17+01;2018-03-06 10:26:17.00522
247519;EZ10_G2-005;52.4821640748;13.3572183536;-0.643384397;0;49;t;2018-03-06 11:26:17+01;2018-03-06 10:26:17.463068
247521;EZ10_G2-005;52.4821640725;13.3572183648;-0.6437058449;0;49;t;2018-03-06 11:26:18+01;2018-03-06 10:26:18.454317
247522;EZ10_G2-005;52.4821640689;13.3572183658;-0.6436433196;0;49;t;2018-03-06 11:26:19+01;2018-03-06 10:26:19.024815
247525;EZ10_G2-005;52.4821640707;13.3572183647;-0.6434185505;0;49;t;2018-03-06 11:26:20+01;2018-03-06 10:26:20.4541
247526;EZ10_G2-005;52.4821640706;13.3572183665;-0.6435544491;0;49;t;2018-03-06 11:26:21+01;2018-03-06 10:26:21.013909
247529;EZ10_G2-005;52.4821640606;13.3572183608;-0.6435055733;0;49;t;2018-03-06 11:26:22+01;2018-03-06 10:26:22.454971
247531;EZ10_G2-005;52.4821640678;13.3572183596;-0.64342767;0;49;t;2018-03-06 11:26:23+01;2018-03-06 10:26:23.457328
247532;EZ10_G2-005;52.4821640624;13.3572183543;-0.6431308985;0;49;t;2018-03-06 11:26:24+01;2018-03-06 10:26:23.964808
247537;EZ10_G2-005;52.4821640582;13.357218346;-0.6433196664;0;49;t;2018-03-06 11:26:26+01;2018-03-06 10:26:26.466327
247538;EZ10_G2-005;52.4821640543;13.3572183439;-0.6435493827;0;49;t;2018-03-06 11:26:27+01;2018-03-06 10:26:26.965702
247542;EZ10_G2-005;52.4821640617;13.3572183522;-0.6434295177;0;49;t;2018-03-06 11:26:29+01;2018-03-06 10:26:29.027041
247544;EZ10_G2-005;52.4821640724;13.3572183507;-0.6434312463;0;49;t;2018-03-06 11:26:30+01;2018-03-06 10:26:29.985865
247548;EZ10_G2-005;52.4821640782;13.3572183664;-0.6436698437;0;49;t;2018-03-06 11:26:32+01;2018-03-06 10:26:31.986252
247550;EZ10_G2-005;52.4821640667;13.3572183655;-0.6435303092;0;49;t;2018-03-06 11:26:33+01;2018-03-06 10:26:33.024909
247553;EZ10_G2-005;52.4821640591;13.3572183764;-0.6437542439;0;49;t;2018-03-06 11:26:34+01;2018-03-06 10:26:34.452117
247554;EZ10_G2-005;52.4821640599;13.3572183831;-0.6436516047;0;49;t;2018-03-06 11:26:35+01;2018-03-06 10:26:35.025679
247555;EZ10_G2-005;52.482164057;13.3572183843;-0.6436444521;0;49;t;2018-03-06 11:26:35+01;2018-03-06 10:26:35.452496
247556;EZ10_G2-005;52.4821640598;13.3572183875;-0.6437817216;0;49;t;2018-03-06 11:26:36+01;2018-03-06 10:26:35.985616
247561;EZ10_G2-005;52.4821640601;13.3572184005;-0.6436551809;0;49;t;2018-03-06 11:26:38+01;2018-03-06 10:26:38.451023
247562;EZ10_G2-005;52.482164062;13.3572184005;-0.6437447667;0;49;t;2018-03-06 11:26:39+01;2018-03-06 10:26:38.964993
247564;EZ10_G2-005;52.4821640564;13.357218395;-0.6436103582;0;49;t;2018-03-06 11:26:40+01;2018-03-06 10:26:39.965602
247565;EZ10_G2-005;52.4821640635;13.3572183974;-0.6435586214;0;49;t;2018-03-06 11:26:40+01;2018-03-06 10:26:40.455038
247566;EZ10_G2-005;52.4821640626;13.3572183991;-0.6437277794;0;49;t;2018-03-06 11:26:41+01;2018-03-06 10:26:40.966456
247570;EZ10_G2-005;52.4821640677;13.3572184046;-0.6437214613;0;49;t;2018-03-06 11:26:43+01;2018-03-06 10:26:42.972833
247572;EZ10_G2-005;52.4821640694;13.3572184067;-0.6437160969;0;49;t;2018-03-06 11:26:44+01;2018-03-06 10:26:43.984858
247574;EZ10_G2-005;52.4821640768;13.3572184066;-0.643751502;0;49;t;2018-03-06 11:26:45+01;2018-03-06 10:26:45.005075
247575;EZ10_G2-005;52.4821640786;13.357218404;-0.643563211;0;49;t;2018-03-06 11:26:45+01;2018-03-06 10:26:45.450946
247576;EZ10_G2-005;52.4821640845;13.3572184054;-0.6437267065;0;49;t;2018-03-06 11:26:46+01;2018-03-06 10:26:45.985842
247580;EZ10_G2-005;52.482164093;13.3572184012;-0.6435695291;0;49;t;2018-03-06 11:26:48+01;2018-03-06 10:26:47.993818
247582;EZ10_G2-005;52.4821640981;13.3572183981;-0.6437490582;0;49;t;2018-03-06 11:26:49+01;2018-03-06 10:26:48.96518
247583;EZ10_G2-005;52.4821641036;13.3572183995;-0.6436830759;0;49;t;2018-03-06 11:26:49+01;2018-03-06 10:26:49.541427
247585;EZ10_G2-005;52.482164103;13.3572183983;-0.6435848475;0;49;t;2018-03-06 11:26:50+01;2018-03-06 10:26:50.539837
247587;EZ10_G2-005;52.4821640935;13.3572183938;-0.6435473561;0;49;t;2018-03-06 11:26:51+01;2018-03-06 10:26:51.44899
247589;EZ10_G2-005;52.4821640923;13.3572183893;-0.6435995698;0;49;t;2018-03-06 11:26:52+01;2018-03-06 10:26:52.451214
247590;EZ10_G2-005;52.4821640891;13.3572183901;-0.6436573267;0;49;t;2018-03-06 11:26:53+01;2018-03-06 10:26:52.965276
247591;EZ10_G2-005;52.4821640911;13.3572183885;-0.6435517669;0;49;t;2018-03-06 11:26:53+01;2018-03-06 10:26:53.448973
247592;EZ10_G2-005;52.4821640918;13.357218387;-0.6435822248;0;49;t;2018-03-06 11:26:54+01;2018-03-06 10:26:53.965206
247593;EZ10_G2-005;52.4821640901;13.3572183861;-0.6436610222;0;49;t;2018-03-06 11:26:54+01;2018-03-06 10:26:54.449219
247594;EZ10_G2-005;52.4821640964;13.3572183862;-0.643630445;0;49;t;2018-03-06 11:26:55+01;2018-03-06 10:26:55.005447
247498;EZ10_G2-005;52.4821640898;13.3572183647;-0.6434759498;0;49;t;2018-03-06 11:26:07+01;2018-03-06 10:26:07.014147
247501;EZ10_G2-005;52.4821640862;13.3572183612;-0.6434633732;0;49;t;2018-03-06 11:26:08+01;2018-03-06 10:26:08.466165
247502;EZ10_G2-005;52.4821640859;13.3572183582;-0.6433894634;0;49;t;2018-03-06 11:26:09+01;2018-03-06 10:26:09.013883
247505;EZ10_G2-005;52.4821640814;13.3572183567;-0.6435643435;0;49;t;2018-03-06 11:26:10+01;2018-03-06 10:26:10.464223
247506;EZ10_G2-005;52.4821640856;13.3572183599;-0.6435598135;0;49;t;2018-03-06 11:26:11+01;2018-03-06 10:26:11.013568
247508;EZ10_G2-005;52.4821640893;13.3572183604;-0.6436001658;0;49;t;2018-03-06 11:26:12+01;2018-03-06 10:26:11.9851
247509;EZ10_G2-005;52.4821640911;13.3572183603;-0.6435241699;0;49;t;2018-03-06 11:26:12+01;2018-03-06 10:26:12.457979
247512;EZ10_G2-005;52.4821640896;13.3572183635;-0.6436287761;0;49;t;2018-03-06 11:26:14+01;2018-03-06 10:26:13.974358
247513;EZ10_G2-005;52.4821640918;13.3572183636;-0.6436091065;0;49;t;2018-03-06 11:26:14+01;2018-03-06 10:26:14.458399
247516;EZ10_G2-005;52.482164085;13.3572183651;-0.6434369087;0;49;t;2018-03-06 11:26:16+01;2018-03-06 10:26:15.985519
